timestamp,segment_label,lat,lon,current_travel_time_s,free_flow_travel_time_s,delay_s,current_speed_kmh,free_flow_speed_kmh,congestion_ratio,congestion_pct,confidence,road_class
2026-07-08T07:30:04,277886172_309,28.68013444161143,77.32607843540667,1284,912,372,27,38,0.711,28.9,0.996843,FRC3
2026-07-08T07:30:04,175804010_289,28.67650222417313,77.32519647172681,702,553,149,26,33,0.788,21.2,0.994209,FRC1
2026-07-08T07:30:04,1046875075_3739,28.64015394788029,77.2832745815737,803,549,254,13,19,0.684,31.6,0.90164,FRC4
2026-07-08T07:30:04,594082031_12474,28.53483253637503,77.26820444917178,894,562,332,22,35,0.629,37.1,0.998444,FRC3
2026-07-08T07:30:04,572511731_2421,28.623715468649944,77.2130581008707,157,157,0,31,31,1.0,0.0,1,FRC4
2026-07-08T07:30:04,760536612_3424,28.61095091414656,77.21205093706702,198,157,41,23,29,0.793,20.7,0.980035,FRC6
2026-07-08T07:30:04,1244887371_4583,28.691820550009812,77.19108039998751,2181,1258,923,15,26,0.577,42.3,0.921338,FRC3
2026-07-08T07:30:04,1286176441_10550,28.73170736521969,77.09169153334054,1882,1220,662,24,37,0.649,35.1,0.998312,FRC2
2026-07-08T07:30:04,586684178_7484,28.54354373429635,77.11690481585993,939,483,456,17,33,0.515,48.5,1,FRC4
2026-07-08T07:30:04,1161756191_4329,28.676333367843423,77.20234860344114,2181,1258,923,15,26,0.577,42.3,0.921338,FRC3
2026-07-08T07:30:04,658051951_2766,28.66746255001921,77.22909450009406,1077,704,373,17,26,0.654,34.6,0.996198,FRC3
2026-07-08T07:30:04,1069840805_474,28.80282180000544,77.14266415004244,54,54,0,31,31,1.0,0.0,1,FRC3
2026-07-08T07:30:04,1250655849_12667,28.561730646079933,77.29298442705245,1129,752,377,16,24,0.667,33.3,0.983467,FRC3
2026-07-08T07:30:04,1101392939_6021,28.68876817016487,77.30801713825375,326,205,121,17,27,0.63,37.0,0.971097,FRC4
2026-07-08T07:30:04,171501169_10834,28.680762254848705,77.15221940328222,385,196,189,24,47,0.511,48.9,1,FRC1
2026-07-08T07:30:04,554798489_2255,28.609848631573414,77.19133966591005,1056,815,241,27,35,0.771,22.9,1,FRC6
2026-07-08T07:30:04,80429849_1299,28.640234991459444,77.23363978636802,1293,597,696,12,26,0.462,53.8,0.998746,FRC3
2026-07-08T07:30:04,732001900_8041,28.561546131001048,77.16858247447243,172,172,0,55,55,1.0,0.0,1,FRC2
2026-07-08T07:30:04,594082009_12467,28.504930100008064,77.27780704997977,938,579,359,21,34,0.618,38.2,0.994554,FRC3
2026-07-08T07:30:04,1035763366_11004,28.683215950033617,77.1463912001148,811,568,243,21,30,0.7,30.0,0.991968,FRC2
2026-07-08T07:30:04,688280716_7908,28.52928820000029,77.21484285000314,333,186,147,14,25,0.56,44.0,1,FRC4
2026-07-08T07:30:04,605840556_5965,28.67656091238996,77.32294258526926,766,651,115,34,40,0.85,15.0,1,FRC3
2026-07-08T07:30:04,191229346_12392,28.52870463937523,77.2712888378788,12,12,0,29,29,1.0,0.0,1,FRC3
2026-07-08T07:30:04,77882040_1181,28.69713422144704,77.18245685980818,702,444,258,19,30,0.633,36.7,0.994093,FRC5
2026-07-08T07:30:04,374689514_10896,28.67117919981934,77.09307076098166,1726,1115,611,31,48,0.646,35.4,1,FRC2
2026-07-08T07:30:04,1013996163_10996,28.679557450003312,77.09444419997479,157,99,58,17,27,0.63,37.0,0.821571,FRC3
2026-07-08T07:30:04,423593939_2043,28.57358728999694,77.20958184838483,234,185,49,34,43,0.791,20.9,1,FRC1
